страна,год,пол,возраст,количество_самоубийства,население,самоубийства_на_100к_человек,страна-год,ИЧР_за_год,ввп_за_год ($) ,ввп_на_душу_населения ($),поколение
Албания,1988,женский,35-54 лет,4,284500,1.41,Албания1988,,"2,126,000,000",769,Молчаливое поколение
Албания,1988,женский,5-14 лет,0,317200,0.0,Албания1988,,"2,126,000,000",769,Поколение X
Албания,1988,мужской,5-14 лет,0,345000,0.0,Албания1988,,"2,126,000,000",769,Поколение X
Албания,1989,мужской,75+ лет,2,22500,8.89,Албания1989,,"2,335,124,988",833,Поколение G.I.
Албания,1989,мужской,25-34 лет,18,283600,6.35,Албания1989,,"2,335,124,988",833,Бумеры
Албания,1989,мужской,35-54 лет,15,318400,4.71,Албания1989,,"2,335,124,988",833,Молчаливое поколение
Албания,1989,мужской,55-74 лет,6,142100,4.22,Албания1989,,"2,335,124,988",833,Поколение G.I.
Албания,1989,мужской,15-24 лет,12,323500,3.71,Албания1989,,"2,335,124,988",833,Поколение X
Албания,1989,женский,35-54 лет,7,288600,2.43,Албания1989,,"2,335,124,988",833,Молчаливое поколение
Албания,1989,женский,15-24 лет,5,299900,1.67,Албания1989,,"2,335,124,988",833,Поколение X
Албания,1989,женский,25-34 лет,2,266300,0.75,Албания1989,,"2,335,124,988",833,Бумеры
Албания,1989,женский,55-74 лет,1,149600,0.67,Албания1989,,"2,335,124,988",833,Поколение G.I.
Албания,1989,женский,5-14 лет,0,321900,0.0,Албания1989,,"2,335,124,988",833,Поколение X
Албания,1989,женский,75+ лет,0,37000,0.0,Албания1989,,"2,335,124,988",833,Поколение G.I.
Албания,1989,мужской,5-14 лет,0,349700,0.0,Албания1989,,"2,335,124,988",833,Поколение X
Албания,1992,мужской,35-54 лет,12,343800,3.49,Албания1992,,"709,452,584",251,Бумеры
Албания,1992,мужской,15-24 лет,9,263700,3.41,Албания1992,,"709,452,584",251,Поколение X
Албания,1992,мужской,55-74 лет,5,159500,3.13,Албания1992,,"709,452,584",251,Молчаливое поколение
Албания,1992,мужской,25-34 лет,7,245500,2.85,Албания1992,,"709,452,584",251,Бумеры
Албания,1992,женский,15-24 лет,7,292400,2.39,Албания1992,,"709,452,584",251,Поколение X
Албания,1992,женский,25-34 лет,4,267400,1.5,Албания1992,,"709,452,584",251,Бумеры
Албания,1992,женский,35-54 лет,2,323100,0.62,Албания1992,,"709,452,584",251,Бумеры
Албания,1992,женский,55-74 лет,1,164900,0.61,Албания1992,,"709,452,584",251,Молчаливое поколение
Албания,1992,женский,5-14 лет,0,336700,0.0,Албания1992,,"709,452,584",251,Миллениалы
Албания,1992,женский,75+ лет,0,38700,0.0,Албания1992,,"709,452,584",251,Поколение G.I.
Албания,1992,мужской,5-14 лет,0,362900,0.0,Албания1992,,"709,452,584",251,Миллениалы
Албания,1992,мужской,75+ лет,0,23900,0.0,Албания1992,,"709,452,584",251,Поколение G.I.
Албания,1993,мужской,15-24 лет,18,243300,7.4,Албания1993,,"1,228,071,038",437,Поколение X
Албания,1993,мужской,55-74 лет,7,165000,4.24,Албания1993,,"1,228,071,038",437,Молчаливое поколение
Албания,1993,мужской,75+ лет,1,24200,4.13,Албания1993,,"1,228,071,038",437,Поколение G.I.
Албания,1993,мужской,25-34 лет,9,230100,3.91,Албания1993,,"1,228,071,038",437,Бумеры
Албания,1993,женский,15-24 лет,10,285300,3.51,Албания1993,,"1,228,071,038",437,Поколение X
Албания,1993,мужской,35-54 лет,10,350300,2.85,Албания1993,,"1,228,071,038",437,Бумеры
Албания,1993,женский,25-34 лет,7,261800,2.67,Албания1993,,"1,228,071,038",437,Бумеры
Албания,1993,женский,35-54 лет,7,331200,2.11,Албания1993,,"1,228,071,038",437,Бумеры
Албания,1993,женский,55-74 лет,2,169500,1.18,Албания1993,,"1,228,071,038",437,Молчаливое поколение
Албания,1993,женский,5-14 лет,1,340300,0.29,Албания1993,,"1,228,071,038",437,Миллениалы
Албания,1993,мужской,5-14 лет,1,367000,0.27,Албания1993,,"1,228,071,038",437,Миллениалы
Албания,1993,женский,75+ лет,0,39300,0.0,Албания1993,,"1,228,071,038",437,Поколение G.I.
Албания,1994,мужской,75+ лет,2,24600,8.13,Албания1994,,"1,985,673,798",697,Поколение G.I.
Албания,1994,мужской,55-74 лет,11,171400,6.42,Албания1994,,"1,985,673,798",697,Молчаливое поколение
Албания,1994,женский,75+ лет,2,39900,5.01,Албания1994,,"1,985,673,798",697,Поколение G.I.
Албания,1994,мужской,25-34 лет,6,231400,2.59,Албания1994,,"1,985,673,798",697,Бумеры
Албания,1994,мужской,35-54 лет,9,362800,2.48,Албания1994,,"1,985,673,798",697,Бумеры
Албания,1994,мужской,15-24 лет,6,242200,2.48,Албания1994,,"1,985,673,798",697,Поколение X
Албания,1994,женский,15-24 лет,6,282600,2.12,Албания1994,,"1,985,673,798",697,Поколение X
Албания,1994,женский,25-34 лет,4,261100,1.53,Албания1994,,"1,985,673,798",697,Бумеры
Албания,1994,женский,35-54 лет,2,342500,0.58,Албания1994,,"1,985,673,798",697,Бумеры
Албания,1994,женский,55-74 лет,1,174600,0.57,Албания1994,,"1,985,673,798",697,Молчаливое поколение
Албания,1994,мужской,5-14 лет,1,371800,0.27,Албания1994,,"1,985,673,798",697,Миллениалы
Албания,1994,женский,5-14 лет,0,344400,0.0,Албания1994,,"1,985,673,798",697,Миллениалы
Албания,1995,мужской,25-34 лет,13,232900,5.58,Албания1995,0.619,"2,424,499,009",835,Поколение X
Албания,1995,мужской,55-74 лет,9,178000,5.06,Албания1995,0.619,"2,424,499,009",835,Молчаливое поколение
Албания,1995,женский,75+ лет,2,40800,4.9,Албания1995,0.619,"2,424,499,009",835,Поколение G.I.
Албания,1995,женский,15-24 лет,13,283500,4.59,Албания1995,0.619,"2,424,499,009",835,Поколение X
Албания,1995,мужской,15-24 лет,11,241200,4.56,Албания1995,0.619,"2,424,499,009",835,Поколение X
Албания,1995,мужской,75+ лет,1,25100,3.98,Албания1995,0.619,"2,424,499,009",835,Поколение G.I.
Албания,1995,мужской,35-54 лет,14,375900,3.72,Албания1995,0.619,"2,424,499,009",835,Бумеры
Албания,1995,женский,25-34 лет,7,264000,2.65,Албания1995,0.619,"2,424,499,009",835,Поколение X
Албания,1995,женский,35-54 лет,8,356400,2.24,Албания1995,0.619,"2,424,499,009",835,Бумеры
Албания,1995,мужской,5-14 лет,6,376500,1.59,Албания1995,0.619,"2,424,499,009",835,Миллениалы
Албания,1995,женский,55-74 лет,2,180400,1.11,Албания1995,0.619,"2,424,499,009",835,Молчаливое поколение
Албания,1995,женский,5-14 лет,2,348700,0.57,Албания1995,0.619,"2,424,499,009",835,Миллениалы
Албания,1996,мужской,75+ лет,2,25400,7.87,Албания1996,,"3,314,898,292",1127,Поколение G.I.
Албания,1996,мужской,15-24 лет,17,243600,6.98,Албания1996,,"3,314,898,292",1127,Поколение X
Албания,1996,мужской,25-34 лет,14,235300,5.95,Албания1996,,"3,314,898,292",1127,Поколение X
Албания,1996,женский,15-24 лет,16,287700,5.56,Албания1996,,"3,314,898,292",1127,Поколение X
Албания,1996,женский,75+ лет,2,41200,4.85,Албания1996,,"3,314,898,292",1127,Поколение G.I.
Албания,1996,женский,25-34 лет,10,267900,3.73,Албания1996,,"3,314,898,292",1127,Поколение X
Албания,1996,мужской,35-54 лет,12,379600,3.16,Албания1996,,"3,314,898,292",1127,Бумеры
Албания,1996,женский,35-54 лет,9,362000,2.49,Албания1996,,"3,314,898,292",1127,Бумеры
Албания,1996,мужской,55-74 лет,3,179900,1.67,Албания1996,,"3,314,898,292",1127,Молчаливое поколение
Албания,1996,женский,55-74 лет,1,183100,0.55,Албания1996,,"3,314,898,292",1127,Молчаливое поколение
Албания,1996,мужской,5-14 лет,2,380400,0.53,Албания1996,,"3,314,898,292",1127,Миллениалы
Албания,1996,женский,5-14 лет,1,354100,0.28,Албания1996,,"3,314,898,292",1127,Миллениалы
Албания,1997,мужской,25-34 лет,36,236000,15.25,Албания1997,,"2,359,903,108",793,Поколение X
Албания,1997,мужской,15-24 лет,33,244400,13.5,Албания1997,,"2,359,903,108",793,Поколение X
Албания,1997,мужской,75+ лет,3,25400,11.81,Албания1997,,"2,359,903,108",793,Поколение G.I.
Албания,1997,мужской,35-54 лет,30,380800,7.88,Албания1997,,"2,359,903,108",793,Бумеры
Албания,1997,женский,15-24 лет,21,294000,7.14,Албания1997,,"2,359,903,108",793,Поколение X
Албания,1997,мужской,55-74 лет,12,180300,6.66,Албания1997,,"2,359,903,108",793,Молчаливое поколение
Албания,1997,женский,25-34 лет,16,273900,5.84,Албания1997,,"2,359,903,108",793,Поколение X
Албания,1997,женский,75+ лет,2,42100,4.75,Албания1997,,"2,359,903,108",793,Поколение G.I.
Албания,1997,женский,35-54 лет,7,370100,1.89,Албания1997,,"2,359,903,108",793,Бумеры
Албания,1997,женский,5-14 лет,6,361800,1.66,Албания1997,,"2,359,903,108",793,Миллениалы
Албания,1997,мужской,5-14 лет,4,381500,1.05,Албания1997,,"2,359,903,108",793,Миллениалы
Албания,1997,женский,55-74 лет,0,187000,0.0,Албания1997,,"2,359,903,108",793,Молчаливое поколение
Албания,1998,мужской,75+ лет,3,25800,11.63,Албания1998,,"2,707,123,772",899,Поколение G.I.
Албания,1998,мужской,15-24 лет,27,248800,10.85,Албания1998,,"2,707,123,772",899,Поколение X
Албания,1998,женский,15-24 лет,32,295600,10.83,Албания1998,,"2,707,123,772",899,Поколение X
Албания,1998,мужской,25-34 лет,26,240400,10.82,Албания1998,,"2,707,123,772",899,Поколение X
Албания,1998,мужской,35-54 лет,29,388200,7.47,Албания1998,,"2,707,123,772",899,Бумеры
Албания,1998,мужской,55-74 лет,9,183800,4.9,Албания1998,,"2,707,123,772",899,Молчаливое поколение
Албания,1998,женский,25-34 лет,10,275300,3.63,Албания1998,,"2,707,123,772",899,Поколение X
Албания,1998,женский,55-74 лет,6,188200,3.19,Албания1998,,"2,707,123,772",899,Молчаливое поколение
Албания,1998,женский,35-54 лет,9,372100,2.42,Албания1998,,"2,707,123,772",899,Бумеры
Албания,1998,мужской,5-14 лет,2,388400,0.51,Албания1998,,"2,707,123,772",899,Миллениалы
Албания,1998,женский,5-14 лет,1,363800,0.27,Албания1998,,"2,707,123,772",899,Миллениалы
Албания,1998,женский,75+ лет,0,42300,0.0,Албания1998,,"2,707,123,772",899,Поколение G.I.
Албания,1999,мужской,75+ лет,3,25900,11.58,Албания1999,,"3,414,760,915",1127,Поколение G.I.
Албания,1999,мужской,15-24 лет,24,250600,9.58,Албания1999,,"3,414,760,915",1127,Поколение X
Албания,1999,женский,75+ лет,4,42400,9.43,Албания1999,,"3,414,760,915",1127,Поколение G.I.
Албания,1999,мужской,35-54 лет,31,391100,7.93,Албания1999,,"3,414,760,915",1127,Бумеры
Албания,1999,мужской,25-34 лет,19,242300,7.84,Албания1999,,"3,414,760,915",1127,Поколение X
Албания,1999,мужской,55-74 лет,14,185200,7.56,Албания1999,,"3,414,760,915",1127,Молчаливое поколение
Албания,1999,женский,15-24 лет,19,296800,6.4,Албания1999,,"3,414,760,915",1127,Поколение X
Албания,1999,женский,25-34 лет,13,276500,4.7,Албания1999,,"3,414,760,915",1127,Поколение X
Албания,1999,женский,55-74 лет,6,188800,3.18,Албания1999,,"3,414,760,915",1127,Молчаливое поколение
Албания,1999,женский,35-54 лет,5,373600,1.34,Албания1999,,"3,414,760,915",1127,Бумеры
Албания,1999,женский,5-14 лет,1,365200,0.27,Албания1999,,"3,414,760,915",1127,Миллениалы
Албания,1999,мужской,5-14 лет,0,391300,0.0,Албания1999,,"3,414,760,915",1127,Миллениалы
Албания,2000,мужской,25-34 лет,17,232000,7.33,Албания2000,0.656,"3,632,043,908",1299,Поколение X
Албания,2000,мужской,55-74 лет,10,177400,5.64,Албания2000,0.656,"3,632,043,908",1299,Молчаливое поколение
Албания,2000,женский,75+ лет,2,37800,5.29,Албания2000,0.656,"3,632,043,908",1299,Поколение G.I.
Албания,2000,мужской,75+ лет,1,24900,4.02,Албания2000,0.656,"3,632,043,908",1299,Поколение G.I.
Албания,2000,женский,15-24 лет,6,263900,2.27,Албания2000,0.656,"3,632,043,908",1299,Поколение X
Албания,2000,мужской,15-24 лет,5,240000,2.08,Албания2000,0.656,"3,632,043,908",1299,Поколение X
Албания,2000,женский,35-54 лет,5,332200,1.51,Албания2000,0.656,"3,632,043,908",1299,Бумеры
Албания,2000,женский,25-34 лет,3,245800,1.22,Албания2000,0.656,"3,632,043,908",1299,Поколение X
Албания,2000,мужской,35-54 лет,4,374700,1.07,Албания2000,0.656,"3,632,043,908",1299,Бумеры
Албания,2000,мужской,5-14 лет,1,374900,0.27,Албания2000,0.656,"3,632,043,908",1299,Миллениалы
Албания,2000,женский,5-14 лет,0,324700,0.0,Албания2000,0.656,"3,632,043,908",1299,Миллениалы
Албания,2000,женский,55-74 лет,0,168000,0.0,Албания2000,0.656,"3,632,043,908",1299,Молчаливое поколение
Албания,2001,мужской,25-34 лет,22,206484,10.65,Албания2001,,"4,060,758,804",1451,Поколение X
Албания,2001,мужской,35-54 лет,34,378826,8.98,Албания2001,,"4,060,758,804",1451,Бумеры
Албания,2001,мужской,55-74 лет,11,196670,5.59,Албания2001,,"4,060,758,804",1451,Молчаливое поколение
Албания,2001,женский,75+ лет,2,47254,4.23,Албания2001,,"4,060,758,804",1451,Молчаливое поколение
Албания,2001,мужской,15-24 лет,10,256039,3.91,Албания2001,,"4,060,758,804",1451,Миллениалы
Албания,2001,женский,15-24 лет,9,271359,3.32,Албания2001,,"4,060,758,804",1451,Миллениалы
Албания,2001,женский,35-54 лет,12,370191,3.24,Албания2001,,"4,060,758,804",1451,Бумеры
Албания,2001,мужской,75+ лет,1,31044,3.22,Албания2001,,"4,060,758,804",1451,Молчаливое поколение
Албания,2001,женский,55-74 лет,6,189799,3.16,Албания2001,,"4,060,758,804",1451,Молчаливое поколение
Албания,2001,мужской,5-14 лет,6,321556,1.87,Албания2001,,"4,060,758,804",1451,Миллениалы
Албания,2001,женский,25-34 лет,4,222771,1.8,Албания2001,,"4,060,758,804",1451,Поколение X
Албания,2001,женский,5-14 лет,2,307356,0.65,Албания2001,,"4,060,758,804",1451,Миллениалы
Албания,2002,мужской,75+ лет,4,31007,12.9,Албания2002,,"4,435,078,648",1573,Молчаливое поколение
Албания,2002,мужской,25-34 лет,23,206286,11.15,Албания2002,,"4,435,078,648",1573,Поколение X
Албания,2002,мужской,35-54 лет,35,382139,9.16,Албания2002,,"4,435,078,648",1573,Бумеры
Албания,2002,мужской,55-74 лет,13,198130,6.56,Албания2002,,"4,435,078,648",1573,Молчаливое поколение
Албания,2002,мужской,15-24 лет,15,263067,5.7,Албания2002,,"4,435,078,648",1573,Миллениалы
Албания,2002,женский,15-24 лет,14,275970,5.07,Албания2002,,"4,435,078,648",1573,Миллениалы
Албания,2002,женский,35-54 лет,15,375113,4.0,Албания2002,,"4,435,078,648",1573,Бумеры
Албания,2002,женский,25-34 лет,7,223685,3.13,Албания2002,,"4,435,078,648",1573,Поколение X
Албания,2002,женский,75+ лет,1,47407,2.11,Албания2002,,"4,435,078,648",1573,Молчаливое поколение
Албания,2002,женский,55-74 лет,4,191712,2.09,Албания2002,,"4,435,078,648",1573,Молчаливое поколение
Албания,2002,женский,5-14 лет,1,304850,0.33,Албания2002,,"4,435,078,648",1573,Миллениалы
Албания,2002,мужской,5-14 лет,1,319473,0.31,Албания2002,,"4,435,078,648",1573,Миллениалы
Албания,2003,женский,75+ лет,6,49088,12.22,Албания2003,,"5,746,945,913",2021,Молчаливое поколение
Албания,2003,мужской,55-74 лет,16,201520,7.94,Албания2003,,"5,746,945,913",2021,Молчаливое поколение
Албания,2003,мужской,35-54 лет,28,386196,7.25,Албания2003,,"5,746,945,913",2021,Бумеры
Албания,2003,мужской,15-24 лет,15,273235,5.49,Албания2003,,"5,746,945,913",2021,Миллениалы
Албания,2003,женский,15-24 лет,14,283709,4.93,Албания2003,,"5,746,945,913",2021,Миллениалы
Албания,2003,женский,55-74 лет,9,195699,4.6,Албания2003,,"5,746,945,913",2021,Молчаливое поколение
Албания,2003,мужской,25-34 лет,9,205433,4.38,Албания2003,,"5,746,945,913",2021,Поколение X
Албания,2003,женский,25-34 лет,9,222941,4.04,Албания2003,,"5,746,945,913",2021,Поколение X
Албания,2003,женский,35-54 лет,13,381760,3.41,Албания2003,,"5,746,945,913",2021,Бумеры
Албания,2003,мужской,75+ лет,1,32667,3.06,Албания2003,,"5,746,945,913",2021,Молчаливое поколение
Албания,2003,мужской,5-14 лет,4,313204,1.28,Албания2003,,"5,746,945,913",2021,Миллениалы
Албания,2003,женский,5-14 лет,0,298477,0.0,Албания2003,,"5,746,945,913",2021,Миллениалы
Албания,2004,мужской,75+ лет,4,35526,11.26,Албания2004,,"7,314,865,176",2544,Молчаливое поколение
Албания,2004,мужской,35-54 лет,39,391767,9.95,Албания2004,,"7,314,865,176",2544,Бумеры
Албания,2004,мужской,25-34 лет,16,203938,7.85,Албания2004,,"7,314,865,176",2544,Поколение X
Албания,2004,женский,15-24 лет,20,292268,6.84,Албания2004,,"7,314,865,176",2544,Миллениалы
Албания,2004,мужской,15-24 лет,19,286768,6.63,Албания2004,,"7,314,865,176",2544,Миллениалы
Албания,2004,женский,75+ лет,3,50970,5.89,Албания2004,,"7,314,865,176",2544,Молчаливое поколение
Албания,2004,женский,25-34 лет,11,222389,4.95,Албания2004,,"7,314,865,176",2544,Поколение X
Албания,2004,мужской,55-74 лет,10,207202,4.83,Албания2004,,"7,314,865,176",2544,Молчаливое поколение
Албания,2004,женский,35-54 лет,17,391436,4.34,Албания2004,,"7,314,865,176",2544,Бумеры
Албания,2004,женский,55-74 лет,3,203841,1.47,Албания2004,,"7,314,865,176",2544,Молчаливое поколение
Албания,2004,женский,5-14 лет,3,286705,1.05,Албания2004,,"7,314,865,176",2544,Миллениалы
Албания,2004,мужской,5-14 лет,1,302181,0.33,Албания2004,,"7,314,865,176",2544,Миллениалы
Албания,2005,женский,15-24 лет,0,281922,0.0,Албания2005,0.695,"8,158,548,717",2931,Миллениалы
Албания,2005,женский,25-34 лет,0,190745,0.0,Албания2005,0.695,"8,158,548,717",2931,Поколение X
Албания,2005,женский,35-54 лет,0,386513,0.0,Албания2005,0.695,"8,158,548,717",2931,Бумеры
Албания,2005,женский,5-14 лет,0,276559,0.0,Албания2005,0.695,"8,158,548,717",2931,Миллениалы
Албания,2005,женский,55-74 лет,0,210998,0.0,Албания2005,0.695,"8,158,548,717",2931,Молчаливое поколение
Албания,2005,женский,75+ лет,0,53191,0.0,Албания2005,0.695,"8,158,548,717",2931,Молчаливое поколение
Албания,2005,мужской,15-24 лет,0,281675,0.0,Албания2005,0.695,"8,158,548,717",2931,Миллениалы
Албания,2005,мужской,25-34 лет,0,177519,0.0,Албания2005,0.695,"8,158,548,717",2931,Поколение X
Албания,2005,мужской,35-54 лет,0,380242,0.0,Албания2005,0.695,"8,158,548,717",2931,Бумеры
Албания,2005,мужской,5-14 лет,0,291367,0.0,Албания2005,0.695,"8,158,548,717",2931,Миллениалы
Албания,2005,мужской,55-74 лет,0,214118,0.0,Албания2005,0.695,"8,158,548,717",2931,Молчаливое поколение
Албания,2005,мужской,75+ лет,0,38471,0.0,Албания2005,0.695,"8,158,548,717",2931,Молчаливое поколение
Албания,2006,женский,15-24 лет,0,283138,0.0,Албания2006,,"8,992,642,349",3235,Миллениалы
Албания,2006,женский,25-34 лет,0,186391,0.0,Албания2006,,"8,992,642,349",3235,Поколение X
Албания,2006,женский,35-54 лет,0,388746,0.0,Албания2006,,"8,992,642,349",3235,Бумеры
Албания,2006,женский,5-14 лет,0,267316,0.0,Албания2006,,"8,992,642,349",3235,Миллениалы
Албания,2006,женский,55-74 лет,0,215907,0.0,Албания2006,,"8,992,642,349",3235,Молчаливое поколение
Албания,2006,женский,75+ лет,0,56011,0.0,Албания2006,,"8,992,642,349",3235,Молчаливое поколение
Албания,2006,мужской,15-24 лет,0,286679,0.0,Албания2006,,"8,992,642,349",3235,Миллениалы
Албания,2006,мужской,25-34 лет,0,174092,0.0,Албания2006,,"8,992,642,349",3235,Поколение X
Албания,2006,мужской,35-54 лет,0,379076,0.0,Албания2006,,"8,992,642,349",3235,Бумеры
Албания,2006,мужской,5-14 лет,0,282678,0.0,Албания2006,,"8,992,642,349",3235,Миллениалы
Албания,2006,мужской,55-74 лет,0,219360,0.0,Албания2006,,"8,992,642,349",3235,Молчаливое поколение
Албания,2006,мужской,75+ лет,0,40782,0.0,Албания2006,,"8,992,642,349",3235,Молчаливое поколение
Албания,2007,мужской,75+ лет,8,42366,18.88,Албания2007,,"10,701,011,897",3863,Молчаливое поколение
Албания,2007,мужской,35-54 лет,29,378626,7.66,Албания2007,,"10,701,011,897",3863,Бумеры
Албания,2007,мужской,55-74 лет,14,224160,6.25,Албания2007,,"10,701,011,897",3863,Молчаливое поколение
Албания,2007,женский,75+ лет,3,57404,5.23,Албания2007,,"10,701,011,897",3863,Молчаливое поколение
Албания,2007,мужской,25-34 лет,9,172494,5.22,Албания2007,,"10,701,011,897",3863,Поколение X
Албания,2007,женский,15-24 лет,13,281080,4.63,Албания2007,,"10,701,011,897",3863,Миллениалы
Албания,2007,мужской,15-24 лет,13,288349,4.51,Албания2007,,"10,701,011,897",3863,Миллениалы
Албания,2007,женский,25-34 лет,8,183629,4.36,Албания2007,,"10,701,011,897",3863,Поколение X
Албания,2007,женский,55-74 лет,9,221120,4.07,Албания2007,,"10,701,011,897",3863,Молчаливое поколение
Албания,2007,женский,35-54 лет,14,391811,3.57,Албания2007,,"10,701,011,897",3863,Бумеры
Албания,2007,мужской,5-14 лет,4,272497,1.47,Албания2007,,"10,701,011,897",3863,Поколение Z
Албания,2007,женский,5-14 лет,0,256808,0.0,Албания2007,,"10,701,011,897",3863,Поколение Z
Албания,2008,мужской,25-34 лет,21,172855,12.15,Албания2008,,"12,881,352,688",4672,Поколение X
Албания,2008,мужской,35-54 лет,37,377119,9.81,Албания2008,,"12,881,352,688",4672,Бумеры
Албания,2008,мужской,55-74 лет,21,228672,9.18,Албания2008,,"12,881,352,688",4672,Молчаливое поколение
Албания,2008,женский,75+ лет,5,59369,8.42,Албания2008,,"12,881,352,688",4672,Молчаливое поколение
Албания,2008,женский,15-24 лет,20,276073,7.24,Албания2008,,"12,881,352,688",4672,Миллениалы
Албания,2008,женский,25-34 лет,9,182663,4.93,Албания2008,,"12,881,352,688",4672,Поколение X
Албания,2008,женский,35-54 лет,19,393832,4.82,Албания2008,,"12,881,352,688",4672,Бумеры
Албания,2008,мужской,75+ лет,2,44574,4.49,Албания2008,,"12,881,352,688",4672,Молчаливое поколение
Албания,2008,мужской,15-24 лет,11,286702,3.84,Албания2008,,"12,881,352,688",4672,Миллениалы
Албания,2008,женский,55-74 лет,7,226448,3.09,Албания2008,,"12,881,352,688",4672,Молчаливое поколение
Албания,2008,мужской,5-14 лет,7,262464,2.67,Албания2008,,"12,881,352,688",4672,Поколение Z
Албания,2008,женский,5-14 лет,1,246288,0.41,Албания2008,,"12,881,352,688",4672,Поколение Z
Албания,2009,женский,15-24 лет,0,270003,0.0,Албания2009,,"12,044,212,904",4387,Миллениалы
Албания,2009,женский,25-34 лет,0,182712,0.0,Албания2009,,"12,044,212,904",4387,Поколение X
Албания,2009,женский,35-54 лет,0,394286,0.0,Албания2009,,"12,044,212,904",4387,Бумеры
Албания,2009,женский,5-14 лет,0,236174,0.0,Албания2009,,"12,044,212,904",4387,Поколение Z
Албания,2009,женский,55-74 лет,0,233302,0.0,Албания2009,,"12,044,212,904",4387,Молчаливое поколение
Албания,2009,женский,75+ лет,0,61582,0.0,Албания2009,,"12,044,212,904",4387,Молчаливое поколение
Албания,2009,мужской,15-24 лет,0,283448,0.0,Албания2009,,"12,044,212,904",4387,Миллениалы
Албания,2009,мужской,25-34 лет,0,174955,0.0,Албания2009,,"12,044,212,904",4387,Поколение X
Албания,2009,мужской,35-54 лет,0,374365,0.0,Албания2009,,"12,044,212,904",4387,Бумеры
Албания,2009,мужской,5-14 лет,0,253007,0.0,Албания2009,,"12,044,212,904",4387,Поколение Z
Албания,2009,мужской,55-74 лет,0,234570,0.0,Албания2009,,"12,044,212,904",4387,Молчаливое поколение
Албания,2009,мужской,75+ лет,0,47331,0.0,Албания2009,,"12,044,212,904",4387,Молчаливое поколение
Албания,2010,мужской,55-74 лет,20,241852,8.27,Албания2010,0.722,"11,926,953,259",4359,Молчаливое поколение
Албания,2010,мужской,35-54 лет,20,371611,5.38,Албания2010,0.722,"11,926,953,259",4359,Поколение X
Албания,2010,мужской,25-34 лет,9,179720,5.01,Албания2010,0.722,"11,926,953,259",4359,Поколение X
Албания,2010,мужской,75+ лет,2,50767,3.94,Албания2010,0.722,"11,926,953,259",4359,Молчаливое поколение
Албания,2010,мужской,15-24 лет,10,279508,3.58,Албания2010,0.722,"11,926,953,259",4359,Миллениалы
Албания,2010,женский,25-34 лет,6,183579,3.27,Албания2010,0.722,"11,926,953,259",4359,Поколение X
Албания,2010,женский,75+ лет,2,64415,3.1,Албания2010,0.722,"11,926,953,259",4359,Молчаливое поколение
Албания,2010,женский,35-54 лет,12,394593,3.04,Албания2010,0.722,"11,926,953,259",4359,Поколение X
Албания,2010,женский,55-74 лет,7,241491,2.9,Албания2010,0.722,"11,926,953,259",4359,Молчаливое поколение
