страна,год,пол,возраст,количество_самоубийств,население,самоубийства_на_100к_человек,ИЧР_за_год,ВВП_за_год,ВВП_на_душу_населения,индекс_безработицы,регион
Албания,1989,мужской,25-34 лет,18,283600,6.35,0.673,2335124988.0,833,6.7,Европа
Албания,1989,мужской,35-54 лет,15,318400,4.71,0.673,2335124988.0,833,6.7,Европа
Албания,1989,мужской,55-74 лет,6,142100,4.22,0.673,2335124988.0,833,6.7,Европа
Албания,1989,мужской,15-24 лет,12,323500,3.71,0.673,2335124988.0,833,6.7,Европа
Албания,1989,женский,35-54 лет,7,288600,2.43,0.673,2335124988.0,833,6.7,Европа
Албания,1989,женский,15-24 лет,5,299900,1.67,0.673,2335124988.0,833,6.7,Европа
Албания,1989,женский,25-34 лет,2,266300,0.75,0.673,2335124988.0,833,6.7,Европа
Албания,1989,женский,55-74 лет,1,149600,0.67,0.673,2335124988.0,833,6.7,Европа
Албания,1989,женский,5-14 лет,0,321900,0.0,0.673,2335124988.0,833,6.7,Европа
Албания,1989,женский,75+ лет,0,37000,0.0,0.673,2335124988.0,833,6.7,Европа
Албания,1989,мужской,5-14 лет,0,349700,0.0,0.673,2335124988.0,833,6.7,Европа
Албания,1992,мужской,35-54 лет,12,343800,3.49,0.673,709452584.0,251,26.5,Европа
Албания,1992,мужской,15-24 лет,9,263700,3.41,0.673,709452584.0,251,26.5,Европа
Албания,1992,мужской,55-74 лет,5,159500,3.13,0.673,709452584.0,251,26.5,Европа
Албания,1992,мужской,25-34 лет,7,245500,2.85,0.673,709452584.0,251,26.5,Европа
Албания,1992,женский,15-24 лет,7,292400,2.39,0.673,709452584.0,251,26.5,Европа
Албания,1992,женский,25-34 лет,4,267400,1.5,0.673,709452584.0,251,26.5,Европа
Албания,1992,женский,35-54 лет,2,323100,0.62,0.673,709452584.0,251,26.5,Европа
Албания,1992,женский,55-74 лет,1,164900,0.61,0.673,709452584.0,251,26.5,Европа
Албания,1992,женский,5-14 лет,0,336700,0.0,0.673,709452584.0,251,26.5,Европа
Албания,1992,женский,75+ лет,0,38700,0.0,0.673,709452584.0,251,26.5,Европа
Албания,1992,мужской,5-14 лет,0,362900,0.0,0.673,709452584.0,251,26.5,Европа
Албания,1992,мужской,75+ лет,0,23900,0.0,0.673,709452584.0,251,26.5,Европа
Албания,1993,мужской,15-24 лет,18,243300,7.4,0.673,1228071038.0,437,22.3,Европа
Албания,1993,мужской,55-74 лет,7,165000,4.24,0.673,1228071038.0,437,22.3,Европа
Албания,1993,мужской,75+ лет,1,24200,4.13,0.673,1228071038.0,437,22.3,Европа
Албания,1993,мужской,25-34 лет,9,230100,3.91,0.673,1228071038.0,437,22.3,Европа
Албания,1993,женский,15-24 лет,10,285300,3.51,0.673,1228071038.0,437,22.3,Европа
Албания,1993,мужской,35-54 лет,10,350300,2.85,0.673,1228071038.0,437,22.3,Европа
Албания,1993,женский,25-34 лет,7,261800,2.67,0.673,1228071038.0,437,22.3,Европа
Албания,1993,женский,35-54 лет,7,331200,2.11,0.673,1228071038.0,437,22.3,Европа
Албания,1993,женский,55-74 лет,2,169500,1.18,0.673,1228071038.0,437,22.3,Европа
Албания,1993,женский,5-14 лет,1,340300,0.29,0.673,1228071038.0,437,22.3,Европа
Албания,1993,мужской,5-14 лет,1,367000,0.27,0.673,1228071038.0,437,22.3,Европа
Албания,1993,женский,75+ лет,0,39300,0.0,0.673,1228071038.0,437,22.3,Европа
Албания,1994,мужской,75+ лет,2,24600,8.13,0.673,1985673798.0,697,18.4,Европа
Албания,1994,мужской,55-74 лет,11,171400,6.42,0.673,1985673798.0,697,18.4,Европа
Албания,1994,женский,75+ лет,2,39900,5.01,0.673,1985673798.0,697,18.4,Европа
Албания,1994,мужской,25-34 лет,6,231400,2.59,0.673,1985673798.0,697,18.4,Европа
Албания,1994,мужской,35-54 лет,9,362800,2.48,0.673,1985673798.0,697,18.4,Европа
Албания,1994,мужской,15-24 лет,6,242200,2.48,0.673,1985673798.0,697,18.4,Европа
Албания,1994,женский,15-24 лет,6,282600,2.12,0.673,1985673798.0,697,18.4,Европа
Албания,1994,женский,25-34 лет,4,261100,1.53,0.673,1985673798.0,697,18.4,Европа
Албания,1994,женский,35-54 лет,2,342500,0.58,0.673,1985673798.0,697,18.4,Европа
Албания,1994,женский,55-74 лет,1,174600,0.57,0.673,1985673798.0,697,18.4,Европа
Албания,1994,мужской,5-14 лет,1,371800,0.27,0.673,1985673798.0,697,18.4,Европа
Албания,1994,женский,5-14 лет,0,344400,0.0,0.673,1985673798.0,697,18.4,Европа
Албания,1995,мужской,25-34 лет,13,232900,5.58,0.619,2424499009.0,835,12.9,Европа
Албания,1995,мужской,55-74 лет,9,178000,5.06,0.619,2424499009.0,835,12.9,Европа
Албания,1995,женский,75+ лет,2,40800,4.9,0.619,2424499009.0,835,12.9,Европа
Албания,1995,женский,15-24 лет,13,283500,4.59,0.619,2424499009.0,835,12.9,Европа
Албания,1995,мужской,15-24 лет,11,241200,4.56,0.619,2424499009.0,835,12.9,Европа
Албания,1995,мужской,75+ лет,1,25100,3.98,0.619,2424499009.0,835,12.9,Европа
Албания,1995,мужской,35-54 лет,14,375900,3.72,0.619,2424499009.0,835,12.9,Европа
Албания,1995,женский,25-34 лет,7,264000,2.65,0.619,2424499009.0,835,12.9,Европа
Албания,1995,женский,35-54 лет,8,356400,2.24,0.619,2424499009.0,835,12.9,Европа
Албания,1995,мужской,5-14 лет,6,376500,1.59,0.619,2424499009.0,835,12.9,Европа
Албания,1995,женский,55-74 лет,2,180400,1.11,0.619,2424499009.0,835,12.9,Европа
Албания,1995,женский,5-14 лет,2,348700,0.57,0.619,2424499009.0,835,12.9,Европа
Албания,1996,мужской,75+ лет,2,25400,7.87,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,мужской,15-24 лет,17,243600,6.98,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,мужской,25-34 лет,14,235300,5.95,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,женский,15-24 лет,16,287700,5.56,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,женский,75+ лет,2,41200,4.85,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,женский,25-34 лет,10,267900,3.73,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,мужской,35-54 лет,12,379600,3.16,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,женский,35-54 лет,9,362000,2.49,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,мужской,55-74 лет,3,179900,1.67,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,женский,55-74 лет,1,183100,0.55,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,мужской,5-14 лет,2,380400,0.53,0.673,3314898292.0,1127,12.3,Европа
Албания,1996,женский,5-14 лет,1,354100,0.28,0.673,3314898292.0,1127,12.3,Европа
Албания,1997,мужской,25-34 лет,36,236000,15.25,0.673,2359903108.0,793,14.9,Европа
Албания,1997,мужской,15-24 лет,33,244400,13.5,0.673,2359903108.0,793,14.9,Европа
Албания,1997,мужской,75+ лет,3,25400,11.81,0.673,2359903108.0,793,14.9,Европа
Албания,1997,мужской,35-54 лет,30,380800,7.88,0.673,2359903108.0,793,14.9,Европа
Албания,1997,женский,15-24 лет,21,294000,7.14,0.673,2359903108.0,793,14.9,Европа
Албания,1997,мужской,55-74 лет,12,180300,6.66,0.673,2359903108.0,793,14.9,Европа
Албания,1997,женский,25-34 лет,16,273900,5.84,0.673,2359903108.0,793,14.9,Европа
Албания,1997,женский,75+ лет,2,42100,4.75,0.673,2359903108.0,793,14.9,Европа
Албания,1997,женский,35-54 лет,7,370100,1.89,0.673,2359903108.0,793,14.9,Европа
Албания,1997,женский,5-14 лет,6,361800,1.66,0.673,2359903108.0,793,14.9,Европа
Албания,1997,мужской,5-14 лет,4,381500,1.05,0.673,2359903108.0,793,14.9,Европа
Албания,1997,женский,55-74 лет,0,187000,0.0,0.673,2359903108.0,793,14.9,Европа
Албания,1998,мужской,75+ лет,3,25800,11.63,0.673,2707123772.0,899,17.7,Европа
Албания,1998,мужской,15-24 лет,27,248800,10.85,0.673,2707123772.0,899,17.7,Европа
Албания,1998,женский,15-24 лет,32,295600,10.83,0.673,2707123772.0,899,17.7,Европа
Албания,1998,мужской,25-34 лет,26,240400,10.82,0.673,2707123772.0,899,17.7,Европа
Албания,1998,мужской,35-54 лет,29,388200,7.47,0.673,2707123772.0,899,17.7,Европа
Албания,1998,мужской,55-74 лет,9,183800,4.9,0.673,2707123772.0,899,17.7,Европа
Албания,1998,женский,25-34 лет,10,275300,3.63,0.673,2707123772.0,899,17.7,Европа
Албания,1998,женский,55-74 лет,6,188200,3.19,0.673,2707123772.0,899,17.7,Европа
Албания,1998,женский,35-54 лет,9,372100,2.42,0.673,2707123772.0,899,17.7,Европа
Албания,1998,мужской,5-14 лет,2,388400,0.51,0.673,2707123772.0,899,17.7,Европа
Албания,1998,женский,5-14 лет,1,363800,0.27,0.673,2707123772.0,899,17.7,Европа
Албания,1998,женский,75+ лет,0,42300,0.0,0.673,2707123772.0,899,17.7,Европа
Албания,1999,мужской,75+ лет,3,25900,11.58,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,мужской,15-24 лет,24,250600,9.58,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,женский,75+ лет,4,42400,9.43,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,мужской,35-54 лет,31,391100,7.93,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,мужской,25-34 лет,19,242300,7.84,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,мужской,55-74 лет,14,185200,7.56,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,женский,15-24 лет,19,296800,6.4,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,женский,25-34 лет,13,276500,4.7,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,женский,55-74 лет,6,188800,3.18,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,женский,35-54 лет,5,373600,1.34,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,женский,5-14 лет,1,365200,0.27,0.673,3414760915.0,1127,18.4,Европа
Албания,1999,мужской,5-14 лет,0,391300,0.0,0.673,3414760915.0,1127,18.4,Европа
Албания,2000,мужской,25-34 лет,17,232000,7.33,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,мужской,55-74 лет,10,177400,5.64,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,женский,75+ лет,2,37800,5.29,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,мужской,75+ лет,1,24900,4.02,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,женский,15-24 лет,6,263900,2.27,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,мужской,15-24 лет,5,240000,2.08,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,женский,35-54 лет,5,332200,1.51,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,женский,25-34 лет,3,245800,1.22,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,мужской,35-54 лет,4,374700,1.07,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,мужской,5-14 лет,1,374900,0.27,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,женский,5-14 лет,0,324700,0.0,0.656,3632043908.0,1299,16.8,Европа
Албания,2000,женский,55-74 лет,0,168000,0.0,0.656,3632043908.0,1299,16.8,Европа
Албания,2001,мужской,25-34 лет,22,206484,10.65,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,мужской,35-54 лет,34,378826,8.98,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,мужской,55-74 лет,11,196670,5.59,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,женский,75+ лет,2,47254,4.23,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,мужской,15-24 лет,10,256039,3.91,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,женский,15-24 лет,9,271359,3.32,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,женский,35-54 лет,12,370191,3.24,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,мужской,75+ лет,1,31044,3.22,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,женский,55-74 лет,6,189799,3.16,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,мужской,5-14 лет,6,321556,1.87,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,женский,25-34 лет,4,222771,1.8,0.673,4060758804.0,1451,16.4,Европа
Албания,2001,женский,5-14 лет,2,307356,0.65,0.673,4060758804.0,1451,16.4,Европа
Албания,2002,мужской,75+ лет,4,31007,12.9,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,мужской,25-34 лет,23,206286,11.15,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,мужской,35-54 лет,35,382139,9.16,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,мужской,55-74 лет,13,198130,6.56,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,мужской,15-24 лет,15,263067,5.7,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,женский,15-24 лет,14,275970,5.07,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,женский,35-54 лет,15,375113,4.0,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,женский,25-34 лет,7,223685,3.13,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,женский,75+ лет,1,47407,2.11,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,женский,55-74 лет,4,191712,2.09,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,женский,5-14 лет,1,304850,0.33,0.673,4435078648.0,1573,15.8,Европа
Албания,2002,мужской,5-14 лет,1,319473,0.31,0.673,4435078648.0,1573,15.8,Европа
Албания,2003,женский,75+ лет,6,49088,12.22,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,мужской,55-74 лет,16,201520,7.94,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,мужской,35-54 лет,28,386196,7.25,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,мужской,15-24 лет,15,273235,5.49,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,женский,15-24 лет,14,283709,4.93,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,женский,55-74 лет,9,195699,4.6,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,мужской,25-34 лет,9,205433,4.38,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,женский,25-34 лет,9,222941,4.04,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,женский,35-54 лет,13,381760,3.41,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,мужской,75+ лет,1,32667,3.06,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,мужской,5-14 лет,4,313204,1.28,0.673,5746945913.0,2021,15.0,Европа
Албания,2003,женский,5-14 лет,0,298477,0.0,0.673,5746945913.0,2021,15.0,Европа
Албания,2004,мужской,75+ лет,4,35526,11.26,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,мужской,35-54 лет,39,391767,9.95,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,мужской,25-34 лет,16,203938,7.85,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,женский,15-24 лет,20,292268,6.84,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,мужской,15-24 лет,19,286768,6.63,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,женский,75+ лет,3,50970,5.89,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,женский,25-34 лет,11,222389,4.95,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,мужской,55-74 лет,10,207202,4.83,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,женский,35-54 лет,17,391436,4.34,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,женский,55-74 лет,3,203841,1.47,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,женский,5-14 лет,3,286705,1.05,0.673,7314865176.0,2544,14.4,Европа
Албания,2004,мужской,5-14 лет,1,302181,0.33,0.673,7314865176.0,2544,14.4,Европа
Албания,2005,женский,15-24 лет,0,281922,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,женский,25-34 лет,0,190745,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,женский,35-54 лет,0,386513,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,женский,5-14 лет,0,276559,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,женский,55-74 лет,0,210998,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,женский,75+ лет,0,53191,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,мужской,15-24 лет,0,281675,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,мужской,25-34 лет,0,177519,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,мужской,35-54 лет,0,380242,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,мужской,5-14 лет,0,291367,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,мужской,55-74 лет,0,214118,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2005,мужской,75+ лет,0,38471,0.0,0.695,8158548717.0,2931,14.1,Европа
Албания,2006,женский,15-24 лет,0,283138,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,женский,25-34 лет,0,186391,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,женский,35-54 лет,0,388746,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,женский,5-14 лет,0,267316,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,женский,55-74 лет,0,215907,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,женский,75+ лет,0,56011,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,мужской,15-24 лет,0,286679,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,мужской,25-34 лет,0,174092,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,мужской,35-54 лет,0,379076,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,мужской,5-14 лет,0,282678,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,мужской,55-74 лет,0,219360,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2006,мужской,75+ лет,0,40782,0.0,0.673,8992642349.0,3235,13.8,Европа
Албания,2007,мужской,75+ лет,8,42366,18.88,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,мужской,35-54 лет,29,378626,7.66,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,мужской,55-74 лет,14,224160,6.25,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,женский,75+ лет,3,57404,5.23,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,мужской,25-34 лет,9,172494,5.22,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,женский,15-24 лет,13,281080,4.63,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,мужской,15-24 лет,13,288349,4.51,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,женский,25-34 лет,8,183629,4.36,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,женский,55-74 лет,9,221120,4.07,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,женский,35-54 лет,14,391811,3.57,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,мужской,5-14 лет,4,272497,1.47,0.673,10701011897.0,3863,13.4,Европа
Албания,2007,женский,5-14 лет,0,256808,0.0,0.673,10701011897.0,3863,13.4,Европа
Албания,2008,мужской,25-34 лет,21,172855,12.15,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,мужской,35-54 лет,37,377119,9.81,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,мужской,55-74 лет,21,228672,9.18,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,женский,75+ лет,5,59369,8.42,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,женский,15-24 лет,20,276073,7.24,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,женский,25-34 лет,9,182663,4.93,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,женский,35-54 лет,19,393832,4.82,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,мужской,75+ лет,2,44574,4.49,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,мужской,15-24 лет,11,286702,3.84,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,женский,55-74 лет,7,226448,3.09,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,мужской,5-14 лет,7,262464,2.67,0.673,12881352688.0,4672,13.1,Европа
Албания,2008,женский,5-14 лет,1,246288,0.41,0.673,12881352688.0,4672,13.1,Европа
Албания,2009,женский,15-24 лет,0,270003,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,женский,25-34 лет,0,182712,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,женский,35-54 лет,0,394286,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,женский,5-14 лет,0,236174,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,женский,55-74 лет,0,233302,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,женский,75+ лет,0,61582,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,мужской,15-24 лет,0,283448,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,мужской,25-34 лет,0,174955,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,мужской,35-54 лет,0,374365,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,мужской,5-14 лет,0,253007,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,мужской,55-74 лет,0,234570,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2009,мужской,75+ лет,0,47331,0.0,0.673,12044212904.0,4387,13.8,Европа
Албания,2010,мужской,55-74 лет,20,241852,8.27,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,мужской,35-54 лет,20,371611,5.38,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,мужской,25-34 лет,9,179720,5.01,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,мужской,75+ лет,2,50767,3.94,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,мужской,15-24 лет,10,279508,3.58,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,женский,25-34 лет,6,183579,3.27,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,женский,75+ лет,2,64415,3.1,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,женский,35-54 лет,12,394593,3.04,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,женский,55-74 лет,7,241491,2.9,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,женский,15-24 лет,6,263581,2.28,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,женский,5-14 лет,2,223969,0.89,0.722,11926953259.0,4359,14.0,Европа
Албания,2010,мужской,5-14 лет,0,240939,0.0,0.722,11926953259.0,4359,14.0,Европа
Аргентина,1985,мужской,75+ лет,202,363000,55.65,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,мужской,55-74 лет,485,1997000,24.29,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,мужской,35-54 лет,414,3346300,12.37,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,женский,55-74 лет,210,2304000,9.11,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,мужской,25-34 лет,177,2234200,7.92,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,женский,75+ лет,41,537000,7.64,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,мужской,15-24 лет,156,2415200,6.46,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,женский,35-54 лет,142,3355300,4.23,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,женский,25-34 лет,65,2185200,2.97,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,женский,15-24 лет,69,2354200,2.93,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,мужской,5-14 лет,16,3044200,0.53,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1985,женский,5-14 лет,11,2955200,0.37,0.694,88416668900.0,3264,6.3,Южная Америка
Аргентина,1986,мужской,75+ лет,230,365000,63.01,0.7796,110934442763.0,4072,6.3,Южная Америка
Аргентина,1986,мужской,55-74 лет,530,2008300,26.39,0.7796,110934442763.0,4072,6.3,Южная Америка
Аргентина,1986,мужской,35-54 лет,478,3365200,14.2,0.7796,110934442763.0,4072,6.3,Южная Америка
Аргентина,1986,мужской,25-34 лет,209,2246900,9.3,0.7796,110934442763.0,4072,6.3,Южная Америка
Аргентина,1986,женский,75+ лет,48,540200,8.89,0.7796,110934442763.0,4072,6.3,Южная Америка
Аргентина,1986,женский,55-74 лет,201,2317100,8.67,0.7796,110934442763.0,4072,6.3,Южная Америка
Аргентина,1986,мужской,15-24 лет,186,2428900,7.66,0.7796,110934442763.0,4072,6.3,Южная Америка
Аргентина,1986,женский,35-54 лет,188,3374300,5.57,0.7796,110934442763.0,4072,6.3,Южная Америка
Аргентина,1986,женский,25-34 лет,96,2197600,4.37,0.7796,110934442763.0,4072,6.3,Южная Америка
